titulo_pagina,url_pagina,visualizacoes,usuarios_unicos,tempo_medio_seg
Home,https://shop.googlemerchandisestore.com/,71599,30467,0.0
Apparel | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel,40583,20362,0.0
Google Online Store,https://googlemerchandisestore.com/,24628,10112,0.0
Home,https://shop.googlemerchandisestore.com/store.html,24104,10592,0.0
Google Online Store,https://www.googlemerchandisestore.com/,22164,9308,0.0
Shopping Cart,https://shop.googlemerchandisestore.com/basket.html,19027,5821,0.0
YouTube | Shop by Brand | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Shop+by+Brand/YouTube,15973,7650,0.0
Google Dino Game Tee,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Dino+Game+Tee,14228,7230,0.0
Men's / Unisex | Apparel | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Mens,11720,5885,0.0
Sale | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Clearance,9982,5859,0.0
The Google Merchandise Store - Log In,https://shop.googlemerchandisestore.com/signin.html,8948,4970,0.0
New | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/New,8699,5153,0.0
Store search results,https://shop.googlemerchandisestore.com/asearch.html,8420,4789,0.0
Drinkware | Lifestyle | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Lifestyle/Drinkware,8109,4452,0.0
Bags | Lifestyle | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Lifestyle/Bags,6981,4011,0.0
Campus Collection | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Campus+Collection,5390,4107,0.0
Men's T-Shirts | Apparel | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Mens/Mens+T+Shirts,5347,2362,0.0
Eco-Friendly | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/eco+friendly,4946,3577,0.0
Google | Shop by Brand | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Shop+by+Brand/Google,4328,2500,0.0
Womens | Apparel | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Womens,4184,2223,0.0